CHECK_POINTS,X,Y,,
checkBox,25,25,,
checkBox_2,25,50,,
checkBox_3,25,75,,
checkBox_4,25,100,,
checkBox_5,25,125,,
checkBox_6,25,150,,
checkBox_7,25,300,,
checkBox_8,25,175,,
checkBox_9,25,200,,
checkBox_10,25,275,,
checkBox_11,25,225,,
checkBox_12,25,250,,
checkBox_13,50,150,,
checkBox_14,50,275,,
checkBox_15,50,200,,
checkBox_16,50,175,,
checkBox_17,50,225,,
checkBox_18,50,250,,
checkBox_19,50,25,,
checkBox_20,50,50,,
checkBox_21,50,125,,
checkBox_22,50,75,,
checkBox_23,50,300,,
checkBox_24,50,100,,
checkBox_25,75,150,,
checkBox_26,75,275,,
checkBox_27,75,200,,
checkBox_28,75,175,,
checkBox_29,75,225,,
checkBox_30,75,250,,
checkBox_31,75,25,,
checkBox_32,75,50,,
checkBox_33,75,125,,
checkBox_34,75,75,,
checkBox_35,75,300,,
checkBox_36,75,100,,
checkBox_37,100,150,,
checkBox_38,100,275,,
checkBox_39,100,200,,
checkBox_40,100,175,,
checkBox_41,100,225,,
checkBox_42,100,250,,
checkBox_43,100,25,,
checkBox_44,100,50,,
checkBox_45,100,125,,
checkBox_46,100,75,,
checkBox_47,100,300,,
checkBox_48,100,100,,
checkBox_49,125,150,,
checkBox_50,125,275,,
checkBox_51,125,200,,
checkBox_52,125,175,,
checkBox_53,125,225,,
checkBox_54,125,250,,
checkBox_55,125,25,,
checkBox_56,125,50,,
checkBox_57,125,125,,
checkBox_58,125,75,,
checkBox_59,125,300,,
checkBox_60,125,100,,
checkBox_61,150,150,,
checkBox_62,150,275,,
checkBox_63,150,200,,
checkBox_64,150,175,,
checkBox_65,150,225,,
checkBox_66,150,250,,
checkBox_67,150,25,,
checkBox_68,150,50,,
checkBox_69,150,125,,
checkBox_70,150,75,,
checkBox_71,150,300,,
checkBox_72,150,100,,
checkBox_73,175,150,,
checkBox_74,175,275,,
checkBox_75,175,200,,
checkBox_76,175,175,,
checkBox_77,175,225,,
checkBox_78,175,250,,
checkBox_79,175,25,,
checkBox_80,175,50,,
checkBox_81,175,125,,
checkBox_82,175,75,,
checkBox_83,175,300,,
checkBox_84,175,100,,
checkBox_85,200,150,,
checkBox_86,200,275,,
checkBox_87,200,200,,
checkBox_88,200,175,,
checkBox_89,200,225,, 
checkBox_90,200,250,,
checkBox_91,200,25,,
checkBox_92,200,50,,
checkBox_93,200,125,,
checkBox_94,200,75,,
checkBox_95,200,300,,
checkBox_96,200,100,,
checkBox_97,225,150,,
checkBox_98,225,275,,
checkBox_99,225,200,,
checkBox_100,225,175,,
checkBox_101,225,225,,
checkBox_102,225,250,,
checkBox_103,225,25,,
checkBox_104,225,50,,
checkBox_105,225,125,,
checkBox_106,225,75,,
checkBox_107,225,300,,
checkBox_108,225,100,,
checkBox_109,250,150,,
checkBox_110,250,275,,
checkBox_111,250,200,,
checkBox_112,250,175,,
checkBox_113,250,225,,
checkBox_114,250,250,,
checkBox_115,250,25,,
checkBox_116,250,50,,
checkBox_117,250,75,,
checkBox_118,250,125,,
checkBox_119,250,300,,
checkBox_120,250,100,,
checkBox_121,275,150,,
checkBox_122,275,275,,
checkBox_123,275,200,,
checkBox_124,275,175,,
checkBox_125,275,225,,
checkBox_126,275,250,,
checkBox_127,275,25,,
checkBox_128,275,50,,
checkBox_129,275,125,,
checkBox_130,275,75,,
checkBox_131,275,300,,
checkBox_132,275,100,,
checkBox_133,300,150,,
checkBox_134,300,275,,
checkBox_135,300,200,,
checkBox_136,300,175,,
checkBox_137,300,225,,
checkBox_138,300,250,,
checkBox_139,300,25,,
checkBox_140,300,50,,
checkBox_141,300,125,,
checkBox_142,300,75,,
checkBox_143,300,300,,
checkBox_144,300,100,,
